address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
Onan Road,"Onan Road, Joo Chiat, Geylang, Southeast, 424482, Singapore",1.3151802,103.8974905,Geylang,Central,PAYA LEBAR MRT STATION,1.318112082,103.8930604,0.590604775001364,7.0872573000163674,2000.0,Terraced House,Common room,160.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/onan-road-landed-TAU9wU6YoUDr3budxgqhVY
515 Dunman Rd,"Dunman Place, 515, Dunman Road, Joo Chiat, Geylang, Southeast, 430001, Singapore",1.3100100499999998,103.89574979099288,Geylang,Central,DAKOTA MRT STATION,1.308382639,103.8886626,0.80836893428893,9.70042721146716,1600.0,Condo,Common room,130.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/dunman-place-condo-E8X2yxmVPYVXFfPE6uTHzC
Lengkong Tiga,"Lengkong Tiga, Kembangan, Bedok, Southeast, 417408, Singapore",1.3234546,103.9128809,Bedok,East,KEMBANGAN MRT STATION,1.321038249,103.9129494,0.26879385633254027,3.2255262759904832,2200.0,Semi-D,Master room,160.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/lengkong-tiga-landed-6x937ChkgUSZgqyDjWFMiz
2 Marine Terrace,"2, Marine Terrace, Marine Terrace Walk, Marine Parade, Southeast, 440002, Singapore",1.30445565,103.91816869942869,Marine Parade,Central,KEMBANGAN MRT STATION,1.321038249,103.9129494,1.9330315452618572,23.196378543142284,1300.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/2-marine-terrace-hdb-jcQSeAkB3DQxQofAAL2n87
Geylang Heritage,"Geylang Heritage, 34, Lorong 34 Geylang, Geylang, Southeast, 389525, Singapore",1.3129151000000001,103.88766525,Geylang,Central,DAKOTA MRT STATION,1.308382639,103.8886626,0.516037784557379,6.192453414688548,3200.0,Conservation House,Master room,400.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/lorong-34-geylang-landed-GqvjXWo2WME6i2xHDmqtPV
21 Chiku Rd,"Chiku Road, Joo Chiat, Geylang, Southeast, 423988, Singapore",1.3141055,103.9056431,Geylang,Central,EUNOS MRT STATION,1.319778952,103.9032525,0.6845491239117286,8.214589486940744,1500.0,Condo,Master room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/casa-aroma-condo-4eyconEMt8GtciTmDx67tF
47 Marine Crescent,"47, Marine Crescent, Marine Crescent Gardens, Marine Parade, Southeast, 440047, Singapore",1.30538205,103.9121803882599,Marine Parade,Central,KEMBANGAN MRT STATION,1.321038249,103.9129494,1.7429876064119192,20.91585127694303,800.0,HDB,Common room,65.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/47-marine-crescent-hdb-P7EiBJ8Rghe74KxoJS5Ubr
515 Dunman Rd,"Dunman Place, 515, Dunman Road, Joo Chiat, Geylang, Southeast, 430001, Singapore",1.3100100499999998,103.89574979099288,Geylang,Central,DAKOTA MRT STATION,1.308382639,103.8886626,0.80836893428893,9.70042721146716,1700.0,Condo,Common room,135.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/dunman-place-condo-bo8CPyg664J8Lk8itkphxm
35 Marine Crescent,"35, Marine Crescent, Marine Crescent Ville, Marine Parade, Southeast, 440035, Singapore",1.30314875,103.9128505243531,Marine Parade,Central,KEMBANGAN MRT STATION,1.321038249,103.9129494,1.9892518961871166,23.8710227542454,1200.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/35-marine-crescent-hdb-AdUPp5WZDBgxmFoAbTbFYK
5 Boon Keng Road,"5, Boon Keng Road, Kallang, Central, 330005, Singapore",1.31649965,103.86020343479069,Kallang,Central,BOON KENG MRT STATION,1.319395706,103.8616865,0.36177605928724543,4.341312711446945,1300.0,HDB,Common room,50.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/5-boon-keng-road-hdb-T4Mpa2pBYvXRkwCrwTRVY6
464A Bukit Batok West Avenue 8,"464A, Bukit Batok West Avenue 8, West Plains @ Bukit Batok, Bukit Batok, Southwest, 651464, Singapore",1.35748355,103.74193747532104,Bukit Batok,West,BUKIT GOMBAK MRT STATION,1.358761857,103.7518935,1.1158388067912977,13.390065681495571,900.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/464a-bukit-batok-west-avenue-8-hdb-eWgcb3hXxPS7fC3vSM7niK
22 Boon Keng Road,"McDonald's, 22, Boon Keng Road, Bendemeer Ville, Kallang, Central, 330022, Singapore",1.3190438,103.8617815,Kallang,Central,BOON KENG MRT STATION,1.319395706,103.8616865,0.040530215068743845,0.48636258082492617,1500.0,HDB,Common room,200.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/22-boon-keng-road-hdb-58QDyPDVV3n5DV5um75sbd
435C Fernvale Road,"435C, Fernvale Road, Fernvale, Seng Kang, Central, 793435, Singapore",1.39360895,103.87701438262368,Seng Kang,North-East,FERNVALE LRT STATION,1.391885888,103.8763086,0.2070369955664672,2.4844439467976063,1100.0,HDB,Common room,130.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/435c-fernvale-road-hdb-KrWMa8EVhjSxCkf2Jt37XU
Jalan Kembangan,"Jalan Kembangan, Kembangan, Bedok, Southeast, 417408, Singapore",1.3251533,103.9135019,Bedok,East,KEMBANGAN MRT STATION,1.321038249,103.9129494,0.4616764375641816,5.540117250770179,1850.0,Bungalow,Master room,400.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/jalan-kembangan-landed-nGQThuinJH4rGjMzubUcgn
304 Ubi Avenue 1,"304, Ubi Avenue 1, Geylang, Southeast, 400304, Singapore",1.32969935,103.90159317145245,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.26177103990350187,3.1412524788420226,1000.0,HDB,Common room,180.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/304-ubi-avenue-1-hdb-pU3wRFxtnJaYuKZWYigkgQ
29 Simei St 4,"Simei Street 4, Simei, Southeast, 520227, Singapore",1.3418969,103.9560609,Tampines,East,SIMEI MRT STATION,1.343202895,103.9533717,0.33234914801522886,3.9881897761827463,3000.0,Condo,Master room,732.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/tropical-spring-condo-cVuz4gm8pS2k6veaG6NZuE
