address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
30 Mount Vernon Rd,Bartley, 3 mins,2600.0,Condo,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325176,https://99.co/singapore/rooms/property/bartley-ridge-condo-WpMLgq9gZJhgDocdGiDuUq,2023-09-25
228B Punggol Field,,,950.0,HDB,Common room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325178,https://99.co/singapore/rooms/property/228b-punggol-field-hdb-eUpMfjRj8756gsaDz7Ah4a,2023-09-25
43 Hougang Ave 7,,,1500.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325181,https://99.co/singapore/rooms/property/riverfront-residences-condo-S8h9sboyKe3fc8gHtmRmtk,2023-09-25
81 Strathmore Avenue,Queenstown, 4 mins,1100.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325183,https://99.co/singapore/rooms/property/81-strathmore-avenue-hdb-DVWWuvu8KFkF5HUvTpHami,2023-09-25
2 Everton Park,Outram Park, 6 mins,1400.0,HDB,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325185,https://99.co/singapore/rooms/property/2-everton-park-hdb-726VkH9HmAyJ743Jpxbgjx,2023-09-25
273 Pasir Ris Street 21,,,1500.0,HDB,Master room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325187,https://99.co/singapore/rooms/property/273-pasir-ris-street-21-hdb-d9DuNWL7DNcGTa4jg4SRJk,2023-09-25
232 Ang Mo Kio Avenue 3,,,950.0,HDB,Common room,990.0,FULLY FURNISHED,2023-09-25 13:57:29.325190,https://99.co/singapore/rooms/property/232-ang-mo-kio-avenue-3-hdb-HhLbqCpxyGexhJKXdMLEsu,2023-09-25
853 Mountbatten Rd,,,1300.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325192,https://99.co/singapore/rooms/property/east-mews-condo-9VArrh9ULwZPcAg2dEMdQK,2023-09-25
25 Lor 3 Toa Payoh,Braddell, 4 mins,3300.0,Condo,Master room,463.0,FULLY FURNISHED,2023-09-25 13:57:29.325194,https://99.co/singapore/rooms/property/trevista-condo-6B4FikduGrSreHojAW5Xow,2023-09-25
109 Yishun Ring Road,,,1150.0,HDB,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325196,https://99.co/singapore/rooms/property/109-yishun-ring-road-hdb-gEHbuQA6FMmXTfYrRqoBza,2023-09-25
